phase,epoch,Train_Loss_epoch,Balance_epoch,val_psnr,val_ssim,val_lpips,test_psnr,test_ssim,test_lpips,lr
val,0,,,12.255414962768555,0.304185688495636,0.857666015625,,,,0.0
train,0,0.2005370706319809,0.4592767655849457,,,,,,,1.4285714285714287e-05
train,1,0.07843378931283951,0.02847733534872532,,,,,,,2.8571428571428574e-05
train,2,0.05165930092334747,0.004980578552931547,,,,,,,4.285714285714286e-05
train,3,0.04424627870321274,0.0029313983395695686,,,,,,,5.714285714285715e-05
train,4,0.04148472100496292,0.0022381339222192764,,,,,,,7.142857142857143e-05
train,5,0.039868589490652084,0.0017322523053735495,,,,,,,8.571428571428573e-05
train,6,0.03887635096907616,0.0014408733695745468,,,,,,,0.00010000000000000002
train,7,0.037838730961084366,0.0016298651462420821,,,,,,,0.00011428571428571431
train,8,0.03698169067502022,0.001567927305586636,,,,,,,0.0001285714285714286
train,9,0.03676813468337059,0.001675846055150032,,,,,,,0.0001428571428571429
train,10,0.03601852431893349,0.0016787362983450294,,,,,,,0.0001571428571428572
train,11,0.03551362454891205,0.0016512617003172636,,,,,,,0.00017142857142857148
train,12,0.035308968275785446,0.0015136160654947162,,,,,,,0.00018571428571428577
train,13,0.03487496078014374,0.0014298796886578202,,,,,,,0.00020000000000000006
val,14,0.03487496078014374,0.0014298796886578202,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.0002
train,14,0.034984007477760315,0.0014362013898789883,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.0002
train,15,0.03421704098582268,0.0011880263919010758,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.00019997292411794618
train,16,0.03394223004579544,0.0011016048956662416,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.0001998917111338525
train,17,0.03373801335692406,0.0009822262218222022,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.00019975640502598244
train,18,0.033715154975652695,0.0009094894048757851,24.49905014038086,0.6828505992889404,0.3653380870819092,,,,0.00019956707906498047
